plant,district,date,year,month,pipe_bursts,elevated,elevated_next,predicted,split
PEKAN TAJAU,MARAN,2025-11-01,2025,11,1,0,0,0.3366958323712895,test
RUNCHANG,PEKAN,2023-01-01,2023,1,2,1,1,0.39577692427443556,train
RUNCHANG,PEKAN,2023-02-01,2023,2,2,1,0,0.22917317275754587,train
RUNCHANG,PEKAN,2023-03-01,2023,3,1,0,0,0.2512538004983458,train
RUNCHANG,PEKAN,2023-04-01,2023,4,1,0,0,0.24207311317320812,train
RUNCHANG,PEKAN,2023-05-01,2023,5,1,0,0,0.22264221586258867,train
RUNCHANG,PEKAN,2023-06-01,2023,6,1,0,0,0.1863880506388336,train
RUNCHANG,PEKAN,2023-07-01,2023,7,1,0,0,0.25807953322256,train
RUNCHANG,PEKAN,2023-08-01,2023,8,1,0,0,0.2773781160231912,train
RUNCHANG,PEKAN,2023-09-01,2023,9,1,0,0,0.1968555661979697,train
RUNCHANG,PEKAN,2023-10-01,2023,10,1,0,0,0.23680785612907518,train
RUNCHANG,PEKAN,2023-11-01,2023,11,1,0,0,0.20693801775295903,train
RUNCHANG,PEKAN,2023-12-01,2023,12,1,0,1,0.35515522237396524,train
RUNCHANG,PEKAN,2024-01-01,2024,1,2,1,0,0.21247968597521852,train
RUNCHANG,PEKAN,2024-02-01,2024,2,1,0,0,0.19991543599932876,train
RUNCHANG,PEKAN,2024-03-01,2024,3,1,0,0,0.2243896762915075,train
RUNCHANG,PEKAN,2024-04-01,2024,4,1,0,0,0.2061131165161681,train
RUNCHANG,PEKAN,2024-05-01,2024,5,1,0,0,0.17561411763612028,train
RUNCHANG,PEKAN,2024-06-01,2024,6,1,0,0,0.20429199161287928,train
RUNCHANG,PEKAN,2024-07-01,2024,7,1,0,0,0.25027233688952927,train
RUNCHANG,PEKAN,2024-08-01,2024,8,1,0,1,0.39914471071456975,train
RUNCHANG,PEKAN,2024-09-01,2024,9,2,1,1,0.3629121829315748,train
